web-scraper-order,web-scraper-start-url,product-url,product-url-href,product-category,product-category-href,product-price,product-img-src,product-description-long,product-flavour,product-allergens-src,product-nutrition-src,product-name
"1577991294-2321,""https://www.rockanutrition.de/pages/proteine-collection"","""",""https://www.rockanutrition.de/products/the-vegan-raspberry-yogurt-pulver?lshst=collection"",""The Vegan"",""https://www.rockanutrition.de/collections/vegane-proteine"",""€29,99"",""//cdn.shopify.com/s/files/1/0840/8847/products/Artwork_TheVegan_RaspberryYogurt_blau_NEU_1024x1024.jpg?v=1542729773"",""THE VEGAN ist ein veganes Proteinpulver mit bisher unerreicht leckerem Geschmack. Unsere besondere Rezeptur und die Verwendung hochwertiger Rohstoffe verleiht THE VEGAN eine für pflanzliche Proteine ungewöhnlich gute Konsistenz. Mit 20 % wertvollen BCAA bietet THE VEGAN dir ein vollständiges Aminosäureprofil."",""Raspberry Yogurt"",""//cdn.shopify.com/s/files/1/0840/8847/products/NutritionFacts_TheVegan_RaspberryYogurt_blau_NEU_1024x1024.png?v=1542729783"",""//cdn.shopify.com/s/files/1/0840/8847/products/NutritionFacts_TheVegan_RaspberryYogurt_blau_NEU_1024x1024.png?v=1542729783"",""The Vegan   Raspberry Yogurt"""
"1577991459-2367,""https://www.rockanutrition.de/pages/light-produkte"","""",""https://www.rockanutrition.de/products/light-chips-cheese"",""Light Chips"",""https://www.rockanutrition.de/collections/light-chips"",""€1,99"",""//cdn.shopify.com/s/files/1/0840/8847/products/LightChips_Direkt_Cheese_Artwork_1024x1024.jpg?v=1576837848"",""Das Beste an einem Kinobesuch? Ganz klar die Käse-Nachos! Stehst auch du auf die leckere, aber leider fettige und kalorienreiche Snack-Sünde? Dann haben wir die perfekte Alternative für dich: unsere unwiderstehlichen LIGHT CHIPS Cheese. Anders als vergleichbare Produkte enthalten sie 60% weniger Fett und pro Portion satte 13 g Protein. Zudem sind sie zuckerarm, glutenfrei und lecker kross im Biss. Das macht sie zur perfekten Snack-Alternative in einer fitnessgerechten Ernährungsweise, denn was du an Kalorien sparst, bekommst du an Geschmack doppelt zurück."",""Cheese"",""//cdn.shopify.com/s/files/1/0840/8847/products/NutritionFacts_Cheese_1024x1024.png?v=1576837848"",""//cdn.shopify.com/s/files/1/0840/8847/products/NutritionFacts_Cheese_1024x1024.png?v=1576837848"",""Light Chips   Cheese"""
"1577991944-2485,""https://www.rockanutrition.de/pages/light-produkte"","""",""https://www.rockanutrition.de/products/smacktastic-flav-powder-salted-peanut"",""Geschmackspulver"",""https://www.rockanutrition.de/collections/geschmackspulver"",""€15,99"",""//cdn.shopify.com/s/files/1/0840/8847/products/Artwork_ce59897b-d411-4857-9f88-cde7df887ecd_1024x1024.jpg?v=1576838096"",""Du bist ein echter Erdnuss-Fan? Das SMACKTASTIC Salted Peanut mit leckerem Erdnussgeschmack und leichter Salznote ist wie für dich gemacht. Unsere Geschmackspulver sind wahre Allrounder und lassen Magerquark, Haferflocken, den Kaffee am Morgen, Protein-Shakes oder cleane Backrezepte zum kulinarischen Genuss werden. Mit SMACKTASTIC sind deiner Kreativität keine Grenzen gesetzt."",""Salted Peanut"",""//cdn.shopify.com/s/files/1/0840/8847/products/NutritionFacts_SaltedPeanut_1024x1024.png?v=1576838096"",""//cdn.shopify.com/s/files/1/0840/8847/products/NutritionFacts_SaltedPeanut_1024x1024.png?v=1576838096"",""Smacktastic Flav Powder   Salted Peanut"""
"1577991558-2390,""https://www.rockanutrition.de/pages/light-produkte"","""",""https://www.rockanutrition.de/products/rockalicious-im-in-love-with-the-coco-proteinriegel"",""Proteinriegel"",""https://www.rockanutrition.de/collections/proteinriegel"",""€2,29"",""//cdn.shopify.com/s/files/1/0840/8847/products/Rockalicious-Im-in-love-with-the-coco_1024x1024.jpg?v=1509716594"",""Unser ROCKALICIOUS Coco ist ein Premium-Proteinriegel und enthält satte 20 g Protein und 18,3 g Ballaststoffe pro Portion. Egal ob als Snack für zwischendurch oder als Ersatz für einen Protein-Shake, mit ROCKALICIOUS Coco hast du den perfekten Begleiter für deinen Fitnesslifestyle immer griffbereit."",""I'm in love with the Coco"",""//cdn.shopify.com/s/files/1/0840/8847/products/Rockalicious_Kokosnuss_1024x1024.png?v=1509716607"",""//cdn.shopify.com/s/files/1/0840/8847/products/Rockalicious_Kokosnuss_1024x1024.png?v=1509716607"",""Rockalicious   I'm in love with the Coco"""
"1577991281-2318,""https://www.rockanutrition.de/pages/proteine-collection"","""",""https://www.rockanutrition.de/products/bake-cook-spray?lshst=collection"",""Bake & Cook"",""https://www.rockanutrition.de/collections/backprotein"",""€4,99"",""//cdn.shopify.com/s/files/1/0840/8847/products/Artworks_Bake_CookSpray_1024x1024.png?v=1576832456"",""Egal ob beim Kochen oder Backen: Das BAKE & COOK SPRAY wird ab jetzt dein treuer Begleiter in der Küche. Die super leichte Dosierung ermöglicht es, Pfannen, Backformen und Co. ohne massig Kalorien einzufetten. Die perfekte Grundlage für kalorienbewusstes Kochen und Backen."",""Rapeseed Oil"",""//cdn.shopify.com/s/files/1/0840/8847/products/Nutritionfacts_Bake_CookSpray_1024x1024.png?v=1576832456"",""//cdn.shopify.com/s/files/1/0840/8847/products/Nutritionfacts_Bake_CookSpray_1024x1024.png?v=1576832456"",""Bake & Cook Spray   Rapeseed Oil"""
"1577991363-2341,""https://www.rockanutrition.de/pages/proteine-collection"","""",""https://www.rockanutrition.de/products/yum-yum-whey-cinnamon-and-sugar?lshst=collection"",""Yum Yum Whey"",""https://www.rockanutrition.de/collections/yum-yum-whey"",""€21,99"",""//cdn.shopify.com/s/files/1/0840/8847/products/YumYum-Whey-Cinnamon-and-Sugar-blue_1024x1024.jpg?v=1509721843"",""Unser YUM YUM WHEY Cinnamon and Sugar ist ein Molkenproteinkonzentrat, das durch seinen einzigartigen und cremigen Geschmack besticht. Auch mit Wasser gemixt erhält dein Proteinshake eine hervorragende, vollmundige Konsistenz. Damit ist unser YUM YUM WHEY der perfekte Begleiter für deinen Fitness-Lifestyle."",""Cinnamon and Sugar"",""//cdn.shopify.com/s/files/1/0840/8847/products/Rocka_Whey_Konzentrat_Blue_ZuckerZimt_1024x1024.png?v=1509721851"",""//cdn.shopify.com/s/files/1/0840/8847/products/Rocka_Whey_Konzentrat_Blue_ZuckerZimt_1024x1024.png?v=1509721851"",""Yum Yum Whey   Cinnamon and Sugar"""
"1577991554-2389,""https://www.rockanutrition.de/pages/light-produkte"","""",""https://www.rockanutrition.de/products/rockalicious-apple-pie-proteinriegel"",""Proteinriegel"",""https://www.rockanutrition.de/collections/proteinriegel"",""€2,29"",""//cdn.shopify.com/s/files/1/0840/8847/products/Rockalicious-Apple-Pie_1024x1024.jpg?v=1509716036"",""Unser ROCKALICIOUS Apple Pie ist ein Premium-Proteinriegel und enthält satte 20 g Protein und 10 g Ballaststoffe pro Portion. Egal ob als Snack für zwischendurch oder als Ersatz für einen Protein-Shake, mit ROCKALICIOUS Apple Pie hast du den perfekten Begleiter für deinen Fitnesslifestyle immer griffbereit."",""Apple Pie"",""//cdn.shopify.com/s/files/1/0840/8847/products/Rockalicious_Apple_Pie_1024x1024.png?v=1509716040"",""//cdn.shopify.com/s/files/1/0840/8847/products/Rockalicious_Apple_Pie_1024x1024.png?v=1509716040"",""Rockalicious   Apple Pie"""
"1577991882-2470,""https://www.rockanutrition.de/pages/light-produkte"","""",""https://www.rockanutrition.de/products/smacktastic-flav-powder-black-forest"",""Geschmackspulver"",""https://www.rockanutrition.de/collections/geschmackspulver"",""€15,99"",""//cdn.shopify.com/s/files/1/0840/8847/products/Smacktastic-BlackForest_1024x1024.jpg?v=1509717873"",""Genieße den lecker fruchtig-süßen Geschmack einer Schwarzwälder-Kirschtorte gepaart mit leckeren Schokostreuseln in SMACKTASTIC Black Forest. Unsere Geschmackspulver lassen selbst Magerquark, Haferflocken, den Kaffee am Morgen, Protein-Shakes oder cleane Backrezepte zum kulinarischen Genuss werden. Mit SMACKTASTIC sind deiner Kreativität keine Grenzen gesetzt."",""Black Forest"",""//cdn.shopify.com/s/files/1/0840/8847/products/Smacktastic-BlackForest_1024x1024.png?v=1509717890"",""//cdn.shopify.com/s/files/1/0840/8847/products/Smacktastic-BlackForest_1024x1024.png?v=1509717890"",""Smacktastic Flav Powder   Black Forest"""
"1577991509-2379,""https://www.rockanutrition.de/pages/light-produkte"","""",""https://www.rockanutrition.de/products/smacktastic-ice-cream-kiddy-schoko"",""Protein Eis"",""https://www.rockanutrition.de/collections/eis"",""€19,99"",""//cdn.shopify.com/s/files/1/0840/8847/products/Smacktastic-Ice-Cream-Kiddy-Schoko-blue_1024x1024.jpg?v=1509719829"",""Unsere SMACKTASTIC ICE CREAM ist ein Pulver für die Zubereitung von Protein-Eis. In kurzer Zeit kannst du ganz ohne Eismaschine dein eigenes köstliches Protein-Eis herstellen. Dank hohem Protein-Anteil und dem Verzicht auf Zucker-Zusatz ist die SMACKTASTIC ICE CREAM eine fettarme, vollwertige Alternative zu einem Protein-Shake."",""Kiddy Schoko"",""//cdn.shopify.com/s/files/1/0840/8847/products/Proteineins_Smacktastic_Blue_Schoko_c0ce3e30-7716-47a7-bdfc-ee3b40af12ca_1024x1024.png?v=1509719844"",""//cdn.shopify.com/s/files/1/0840/8847/products/Proteineins_Smacktastic_Blue_Schoko_c0ce3e30-7716-47a7-bdfc-ee3b40af12ca_1024x1024.png?v=1509719844"",""Smacktastic Ice Cream Proteineis   Kiddy Schoko"""
"1577991802-2450,""https://www.rockanutrition.de/pages/light-produkte"","""",""https://www.rockanutrition.de/products/smacktastic-flav-powder-sugared-almond"",""Geschmackspulver"",""https://www.rockanutrition.de/collections/geschmackspulver"",""€15,99"",""//cdn.shopify.com/s/files/1/0840/8847/products/Smacktastic_Sugared_Almond_Shop_1024x1024.jpg?v=1509719278"",""Weihnachtsmarkt-Feeling für das ganze Jahr! Erlebe den leckeren Geschmack von süßen gebrannten Mandeln mit SMACKTASTIC Sugared Almond. Unser Geschmackspulver schmeckt zwar sündhaft lecker, glänzt aber mit absoluten Top-Werten. Diese Flav Powder lassen Magerquark, Haferflocken, den Kaffee am Morgen, Protein-Shakes oder cleane Backrezepte zum kulinarischen Genuss werden. Mit SMACKTASTIC sind deiner Kreativität keine Grenzen gesetzt."",""Sugared Almond"",""//cdn.shopify.com/s/files/1/0840/8847/products/Sugared_Almond_1024x1024.jpg?v=1509719287"",""//cdn.shopify.com/s/files/1/0840/8847/products/Sugared_Almond_1024x1024.jpg?v=1509719287"",""Smacktastic Flav Powder   Sugared Almond"""
