web-scraper-order,web-scraper-start-url,product-url,product-url-href,product-description-short,product-name,product-price,product-size,product-flavour,product-img-src,product-description-long,product-nutrition-src,product-allergens-src,product-size-alternative,product-category
"1578228707-2152","https://www.bodyandfit.com/de-de/Produkte/Protein/Milchproteine/Whey-Protein/c/3","Whey Perfection","https://www.bodyandfit.com/de-de/Produkte/Protein/Milchproteine/Whey-Protein/Whey-Perfection/p/whey-perfection","23 Gramm hochwertiges Whey Protein, 5 Gramm BCAAs und 3,6 Gramm L-Glutamin","Whey Perfection","13,90 €","750 gramm","Cookies & Cream Milkshake","https://media.bodyandfit.com/i/bodyandfit/whey-perfection_Image_01?layer0=$PLP_001$","Body & Fit® Whey Perfection heißt Qualität, Geschmack und Preis bis zur Perfektion! Whey Perfection enthält ausschließlich die höchstmögliche Qualität an Whey-Proteinen, „cold processed“ ultragefiltertes Whey-Proteinkonzentrat, Whey-Proteinisolat und Whey-Hydrolysat, Di- und Tri-Peptide. Whey Perfection enthält pro Portion ganze 23 Gramm hochwertiges Whey-Protein, 5 Gramm BCAAs und 3,6 Gramm L-Glutamin. Whey Perfection ist frei von zugefügtem Zucker und enthält 1,4 Gramm Kohlenhydrate und 110 kcal pro Shake. Mit Whey Perfection erzielst du dank der einzigartigen Zusammensetzung mehr Resultat pro Shake als mit welchem anderen Whey-Protein auch immer. Du kannst aus ganzen 36 unglaublich leckeren Milkshake-Sorten wählen!","https://media.bodyandfit.com/i/bodyandfit/whey-perfection_Label_de-de_01?layer0=$MAIN$","https://media.bodyandfit.com/i/bodyandfit/whey-perfection_Label_de-de_01?layer0=$MAIN$","null","Whey Protein"
"1578228389-1657","https://www.bodyandfit.com/de-de/Produkte/Protein/Pfanzliche-Proteine/Veganes-Protein/c/12","Biologisches Reisprotein","https://www.bodyandfit.com/de-de/Produkte/Protein/Pfanzliche-Proteine/Veganes-Protein/Biologisches-Reisprotein/p/p_51907","Reisproteinpulver ist reich an Proteinen: 80%","Biologisches Reisprotein","12,90 €","null","","https://media.bodyandfit.com/i/bodyandfit/p_51907_Image_01?layer0=$PLP_001$","Reisproteinpulver wird aus biologischem Braunreis hergestellt. Wenn du aus Gründen lieber nicht immer Proteinpulver aus tierischer Herkunft verwenden möchtest, ist Reisproteinpulver eine besonders gute Alternative. Biologisches Reisproteinpulver ist rein pflanzlich, für Veganer geeignet und frei von Gluten und Lactose. Du kannst biologisches Reisproteinpulver als Proteinshake oder Smoothie nach dem Training verwenden. Zudem ist es für einen Proteinboost sehr praktisch als Bereicherung von Gerichten und Backwaren.","https://media.bodyandfit.com/i/bodyandfit/p_51907_Label_de-de_01?layer0=$MAIN$","https://media.bodyandfit.com/i/bodyandfit/p_51907_Label_de-de_01?layer0=$MAIN$","1000 gramm","Veganes Protein"
"1578221517-87","https://www.bodyandfit.com/de-de/Produkte/Gesundheit/Vitamine/Pflanzliche-Nahrungserg%C3%A4nzung/c/141","TRIBULUS 625","https://www.bodyandfit.com/de-de/Produkte/Gesundheit/Vitamine/Pflanzliche-Nahrungserg%C3%A4nzung/TRIBULUS-625/p/tribulus-625-standarized-extract-blend","Hergestellt aus dem besten Tribulus Terrestris","TRIBULUS 625","15,90 €","null","","https://media.bodyandfit.com/i/bodyandfit/tribulus-625-standarized-extract-blend_Image_01?layer0=$PLP_001$","2 Kapseln enthalten eine Mischung von 625 mg aus Tribulus Terrestris-Pulver und einem auf Furostanol Saponins standardisierten Extrakt. Tribulus 625 Caps enthält zudem unterschiedliche Sterole, Flavonoide und andere natürlich vorkommende Stoffen.","https://media.bodyandfit.com/i/bodyandfit/tribulus-625-standarized-extract-blend_Label_de-de_01?layer0=$MAIN$","https://media.bodyandfit.com/i/bodyandfit/tribulus-625-standarized-extract-blend_Label_de-de_01?layer0=$MAIN$","100 kapseln","Pflanzliche Nahrungsergänzung"
"1578227544-962","https://www.bodyandfit.com/de-de/Produkte/Sportnahrung/Ausdauer/Energy-Riegel/c/81","Ride Energy Bars","https://www.bodyandfit.com/de-de/Produkte/Sportnahrung/Ausdauer/Energy-Riegel/Ride-Energy-Bars/p/52280","Fei von künstlichen Farbstoffen/Konservierungsstoffen","Ride Energy Bars","29,90 €","990 gramm","Peanut Caramel","https://media.bodyandfit.com/i/bodyandfit/52280_Image_01?layer0=$PLP_001$","Die Kohlenhydratmischung in Kombination mit den reichhaltig vorhandenen Proteinen sorgt für sofortige Unterstützung der Energiereserven und Erholung. Zudem enthält der Ride Energy Bar hinzugefügtes Magnesium zur Unterstützung einer guten Muskelfunktion und der Vermeidung eines Krampfes.","https://media.bodyandfit.com/i/bodyandfit/52280_Label_de-de_01?layer0=$MAIN$","https://media.bodyandfit.com/i/bodyandfit/52280_Label_de-de_01?layer0=$MAIN$","null","Energy Bars"
"1578221623-99","https://www.bodyandfit.com/de-de/Produkte/Gesundheit/Vitamine/Pflanzliche-Nahrungserg%C3%A4nzung/c/141","Super Herbs Green Tea Extract 500 mg","https://www.bodyandfit.com/de-de/Produkte/Abnehmen/Di%C3%A4tnahrung/Gr%C3%BCntee-Extrakt/Super-Herbs-Green-Tea-Extract-500-mg/p/p_10448","60 Kapseln pro Packung","Super Herbs Green Tea Extract 500 mg","4,90 €","null","","https://media.bodyandfit.com/i/bodyandfit/p_10448_Image_01?layer0=$PLP_001$","Dieses Green Tea Extract Ergänzungsmittel ist auf eine Polyphenolkonzentration von 60% standardisiert.","https://media.bodyandfit.com/i/bodyandfit/p_10448_Label_de-de_01?layer0=$MAIN$","https://media.bodyandfit.com/i/bodyandfit/p_10448_Label_de-de_01?layer0=$MAIN$","60 kapseln","Pflanzliche Nahrungsergänzung"
"1578227475-864","https://www.bodyandfit.com/de-de/Protein-bars/c/194","Smart Bar","https://www.bodyandfit.com/de-de/Produkte/Abnehmen/Di%C3%A4tnahrung/Di%C3%A4t-Protein-Riegel/Smart-Bar/p/smart-bars","15 Gramm Eiweiß pro Riegel","Smart Bar","6,45 €","null","Delicious Coconut","https://media.bodyandfit.com/i/bodyandfit/smart-bars_Image_01?layer0=$PLP_001$","Smart Bar ist unser absoluter Proteinriegel Nummer 1. Reduced carb* und mit ausschließlich den besten Proteinen. Smart Bars sind eine unvorstellbar leckere Zwischenmahlzeit.","https://media.bodyandfit.com/i/bodyandfit/smart-bars_Label_de-de_01?layer0=$MAIN$","https://media.bodyandfit.com/i/bodyandfit/smart-bars_Label_de-de_01?layer0=$MAIN$","540 gramm (12  riegel)","Proteinriegel"
"1578227327-730","https://www.bodyandfit.com/de-de/Protein-bars/c/194","Nutra-Go Protein Wafer","https://www.bodyandfit.com/de-de/Produkte/Ern%C3%A4hrung/Ern%C3%A4hrungsformen/Zuckereduziert/Nutra-Go-Protein-Wafer/p/57117","Knusprige, proteinreiche Waffeln mit 7,8 Gramm Eiweiß","Nutra-Go Protein Wafer","16,90 €","null","","https://media.bodyandfit.com/i/bodyandfit/57117_Image_01?layer0=$PLP_001$","Hast du genug von deinem Standardproteinriegel und willst einfach mal etwas Anderes? Dann ist die Nutra-Go Protein Wafer von Nutramino eine perfekte Alternative für dich! Diese Proteinwaffeln enthalten pro Stück nur 1 Gramm Zucker und ganze 7,8 Gramm qualitativ hochwertiges Eiweiß. Proteine tragen zum Wachstum von Muskelmasse bei und unterstützen nach dem Training eine schnelle Erholung der Muskeln. Diese leckeren Knusperwaffeln enthalten weniger als 200 kcal und sind somit der ideale Snack für jede Gelegenheit des Tages. Der Geschmack,  die Textur und die Makros sind einfach herausragend! Die Nutra-Go Protein Wafer von Nutramino ist in 3 unterschiedlichen Sorten erhältlich: Vanilla, Hazelnut & Coconut.","https://media.bodyandfit.com/i/bodyandfit/57117_Label_de-de_01?layer0=$MAIN$","https://media.bodyandfit.com/i/bodyandfit/57117_Label_de-de_01?layer0=$MAIN$","null","Proteinriegel"
"1578226834-588","https://www.bodyandfit.com/de-de/Produkte/Ern%C3%A4hrung/Riegel-%26-Snacks/N%C3%BCsse-%26-Samen/c/199","Superfood & Nuss Mix","https://www.bodyandfit.com/de-de/Produkte/Ern%C3%A4hrung/Riegel-%26-Snacks/N%C3%BCsse-%26-Samen/Superfood-%26-Nuss-Mix/p/superfood-en-noten-mix","Mischung aus Superfoods und Nüssen","Superfood & Nuss Mix","5,90 €","null","","https://media.bodyandfit.com/i/bodyandfit/superfood-en-noten-mix_Image_01?layer0=$PLP_001$","null","https://media.bodyandfit.com/i/bodyandfit/superfood-en-noten-mix_Label_de-de_01?layer0=$MAIN$","https://media.bodyandfit.com/i/bodyandfit/superfood-en-noten-mix_Label_de-de_01?layer0=$MAIN$","500 gramm","Nüsse & Samen"
"1578223516-269","https://www.bodyandfit.com/de-de/Produkte/Gesundheit/Vitamine/B-Vitamine/c/131","Cholin und Inosit","https://www.bodyandfit.com/de-de/Produkte/Gesundheit/Vitamine/B-Vitamine/Cholin-und-Inosit/p/p_01512","250 mg Cholin und 250 mg Inosit pro Dosis","Cholin und Inosit","17,90 €","null","","https://media.bodyandfit.com/i/bodyandfit/p_01512_Image_01?layer0=$PLP_001$","machen einen Teil des Vitamin B-Komplexes aus und sind wasserlöslich","https://media.bodyandfit.com/i/bodyandfit/p_01512_Label_de-de_01?layer0=$MAIN$","https://media.bodyandfit.com/i/bodyandfit/p_01512_Label_de-de_01?layer0=$MAIN$","100 kapseln","B-Vitamine"
"1578223087-227","https://www.bodyandfit.com/de-de/Produkte/Gesundheit/Vitamine/Vitamin-D/c/133","High Potency Vitamine D-3 1000IU","https://www.bodyandfit.com/de-de/Produkte/Gesundheit/Vitamine/Vitamin-D/High-Potency-Vitamine-D-3-1000IU/p/high-potency-vitamine-d-3-1000iu","Biologisch und gut resorbierbar","High Potency Vitamine D-3 1000IU","3,90 €","60 kapseln:","","https://media.bodyandfit.com/i/bodyandfit/high-potency-vitamine-d-3-1000iu_Image_01?layer0=$PLP_001$","High Potency Vitamin D-3 von Swanson, die biologische gut resorbierbare Form in 1000IU pro Kapsel!","https://media.bodyandfit.com/i/bodyandfit/high-potency-vitamine-d-3-1000iu_Label_de-de_01?layer0=$MAIN$","https://media.bodyandfit.com/i/bodyandfit/high-potency-vitamine-d-3-1000iu_Label_de-de_01?layer0=$MAIN$","null","Vitamin D"
